Group_Square,RSJ_G01,RSJ_G03,AvgRet,Alpha
Square_G01,3.6103,0.9825,2.8078,-3.4858
Square_G02,2.2119,0.429,1.9468,-2.4332
Square_G03,2.7125,2.1359,2.3125,1.6277
HML,-0.8978,1.1535,-0.4954,5.1135
t,-0.8074,1.4351,-0.5242,1.8753
p,0.446,0.2246,0.6163,0.0741
