Group_AutoCorr,ME_G01,ME_G03,AvgRet,Alpha
AutoCorr_G01,0.4304,1.936,0.9053,-1.6653
AutoCorr_G02,3.4079,2.1213,2.6941,2.3712
AutoCorr_G03,2.1016,2.8131,2.2797,0.8277
HML,1.6712,0.8771,1.3744,2.493
t,1.3878,0.2739,1.1008,1.4224
p,0.2078,0.7977,0.3074,0.1689
