Group_AutoCorr,CKT_G01,CKT_G03,AvgRet,Alpha
AutoCorr_G01,0.7324,1.936,0.4499,-3.0144
AutoCorr_G02,2.8061,2.7489,2.5058,1.6837
AutoCorr_G03,2.5956,2.8735,2.3843,-0.5841
HML,1.8632,0.9375,1.9344,2.4303
t,1.529,0.3035,2.1794,0.9518
p,0.1701,0.7767,0.0657,0.3516
