Group_Square,MAX_G01,MAX_G03,AvgRet,Alpha
Square_G01,3.3965,2.5899,3.0011,-5.4229
Square_G02,0.629,2.0767,1.4782,-1.6056
Square_G03,2.3927,1.593,1.9754,0.2057
HML,-1.0038,-0.9969,-1.0258,5.6286
t,-0.4766,-0.5449,-0.6582,2.6928
p,0.6482,0.6148,0.5314,0.0133
