Group_Square,ME_G01,ME_G03,AvgRet,Alpha
Square_G01,1.9471,2.2434,1.9183,0.0729
Square_G02,1.9717,1.6365,1.7331,-2.7024
Square_G03,2.021,2.9905,2.2277,4.1632
HML,0.074,0.7471,0.3094,4.0903
t,0.0465,0.4371,0.248,2.6667
p,0.9642,0.6846,0.8113,0.0141
