Group_Beta_abs_intra,RSJ_G01,RSJ_G03,AvgRet,Alpha
Beta_abs_intra_G01,4.8132,0.4775,3.5575,-2.0285
Beta_abs_intra_G02,1.2869,1.2556,1.241,-1.8816
Beta_abs_intra_G03,2.4346,1.8143,2.2686,-0.3812
HML,-2.3786,1.3368,-1.2889,1.6473
t,-2.0333,0.873,-0.9479,0.836
p,0.0815,0.4319,0.3747,0.4122
