Group_AutoCorr,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
AutoCorr_G01,1.9085,1.5884,1.7368,-1.1099
AutoCorr_G02,2.4308,3.1395,2.3476,0.322
AutoCorr_G03,2.4184,2.3158,2.2696,-4.9086
HML,0.5099,0.7274,0.5328,-3.7987
t,0.2638,0.2999,0.2176,-1.7719
p,0.7995,0.7792,0.834,0.0903
