Group_Square,REV_G01,REV_G03,AvgRet,Alpha
Square_G01,2.0532,2.348,1.8669,-0.5274
Square_G02,3.2517,3.4847,3.7165,-3.0251
Square_G03,2.9904,0.0845,1.9778,2.0244
HML,0.9373,-2.2635,0.1109,2.5519
t,2.406,-2.1668,0.1779,1.1697
p,0.047,0.0962,0.8639,0.2547
