Group_BQ100,CKT_G01,CKT_G03,AvgRet,Alpha
BQ100_G01,3.3068,0.5747,2.0767,-0.1073
BQ100_G02,1.2482,2.8194,1.4961,-2.1872
BQ100_G03,1.5792,4.1642,1.7671,0.3796
HML,-1.7276,3.5895,-0.3096,0.4869
t,-1.4216,3.4182,-0.3338,0.1665
p,0.1981,0.0268,0.7483,0.8692
