Group_BQ100,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
BQ100_G01,1.3278,0.8299,0.8519,-0.0478
BQ100_G02,1.1075,1.0591,0.8953,-1.4942
BQ100_G03,2.9234,3.6827,3.0825,-0.8698
HML,1.5956,2.8528,2.2306,-0.8219
t,1.6069,1.7996,1.7207,-0.4032
p,0.1521,0.1463,0.129,0.6907
