Group_BQ100,MAX_G01,MAX_G03,AvgRet,Alpha
BQ100_G01,2.4825,2.5899,2.5441,-5.0582
BQ100_G02,1.543,2.538,2.0793,-1.0581
BQ100_G03,2.3927,1.1317,1.8312,-0.7066
HML,-0.0898,-1.4582,-0.7129,4.3516
t,-0.0365,-0.8959,-0.3972,1.9014
p,0.9719,0.421,0.703,0.0704
