Group,AvgRet,Alpha
Square_G01,1.3846,0.9875
Square_G02,0.783,0.1963
Square_G03,0.0599,-0.0906
HML,-1.3247,-1.0781
t,-1.9113,-1.5061
p,0.0753,0.1463
