Group,AvgRet,Alpha
AutoCorr_G01,0.7718,0.2482
AutoCorr_G02,0.0567,0.2767
AutoCorr_G03,-0.0565,-1.0686
HML,-0.8283,-1.3168
t,-0.8441,-1.8361
p,0.4119,0.0799
