Group,AvgRet,Alpha
Beta_abs_intra_G01,1.5735,1.3402
Beta_abs_intra_G02,-0.3789,-1.1435
Beta_abs_intra_G03,0.314,-0.0297
HML,-1.2595,-1.3699
t,-1.6374,-1.8382
p,0.1223,0.0796
