Unnamed: 0,rf,mkt,smb,vmg
2005-05-16,6.1e-05,-0.010189924,0.008826503,-0.004521816
2005-05-17,6.1e-05,0.005619564,0.005798094,-0.004303466
2005-05-18,6.1e-05,0.00378261,0.006613648,-0.007562797
2005-05-19,6.1e-05,0.000820217,0.002251505,0.003381131
2005-05-20,6.1e-05,-0.003399664,-0.006654375,0.006718466
2005-05-23,6.1e-05,-0.026297721,-0.014711698,0.003864728
2005-05-24,6.1e-05,0.007123692,0.017343537,-0.020468593
2005-05-25,6.1e-05,-0.000458777,0.007782442,-0.007539945
2005-05-26,6.1e-05,-0.012487162,0.007284247,-0.005065922
2005-05-27,6.1e-05,-0.006894561,0.001234179,-0.001557694
2005-05-30,6.1e-05,0.008860034,0.006758954,-0.003359709
2005-05-31,6.1e-05,0.000342271,-0.00070772,0.005634128
2005-06-01,6.1e-05,-0.021107305,0.000325412,-0.006147718
2005-06-02,6.1e-05,-0.018624983,0.017173714,-0.011597658
2005-06-03,6.1e-05,-0.002567283,0.000577998,0.002969789
2005-06-06,6.1e-05,0.023081737,-0.009394813,0.006794044
2005-06-07,6.1e-05,-0.002336839,0.00398286,-0.009493462
2005-06-08,6.1e-05,0.082347671,-0.006163533,0.007597001
2005-06-09,6.1e-05,0.012245046,-0.00200806,-0.002799
2005-06-10,6.1e-05,-0.021769125,0.001232138,-0.00265061
2005-06-13,6.1e-05,0.002399447,0.007050129,0.004901652
2005-06-14,6.1e-05,-0.013641619,-0.007278333,0.007514363
2005-06-15,6.1e-05,-0.021934098,-0.006351599,0.007251
2005-06-16,6.1e-05,0.012080689,-0.003282875,0.009017886
2005-06-17,6.1e-05,-0.00077344,-0.00562499,0.005528605
2005-06-20,6.1e-05,0.033523779,-0.001246241,0.006497111
2005-06-21,6.1e-05,-0.013244161,0.004412872,-0.000808374
2005-06-22,6.1e-05,0.003270709,0.001488042,0.001558465
2005-06-23,6.1e-05,-0.008547463,-0.00268949,0.004786302
2005-06-24,6.1e-05,0.008334842,-0.000825387,0.009038743
2005-06-27,6.1e-05,0.024345443,0.005791902,0.000731978
2005-06-28,6.1e-05,-0.017261104,-0.003176332,0.006409459
2005-06-29,6.1e-05,-0.005043282,0.002379462,0.006020302
2005-06-30,6.1e-05,-0.025856974,-0.00675523,0.006412515
2005-07-01,6.1e-05,-0.027173481,-0.020623743,0.024286486
2005-07-04,6.1e-05,-0.007443164,-0.009878655,0.012620946
2005-07-05,6.1e-05,-0.007977205,-0.000991898,-0.000783697
2005-07-06,6.1e-05,-0.004798104,0.008067261,0.008344607
2005-07-07,6.1e-05,0.005552035,0.004480857,0.002971889
2005-07-08,6.1e-05,-0.021741403,-0.01762101,0.01077692
2005-07-11,6.1e-05,-0.006928788,-0.00825473,0.008319404
2005-07-12,6.1e-05,0.035227269,-0.000579552,-0.000818056
2005-07-13,6.1e-05,-0.008065311,-0.000459881,-0.00020111
2005-07-14,6.1e-05,0.003155857,-0.003395262,0.003183917
2005-07-15,6.1e-05,-0.013627773,-0.016683934,0.012101067
2005-07-18,6.1e-05,-0.014037066,-0.02086947,0.007205988
2005-07-19,6.1e-05,0.003995696,0.009117546,-0.004291977
2005-07-20,6.1e-05,0.007467919,-9.5e-05,0.001590804
2005-07-21,6.1e-05,-0.000833266,-0.004670471,-0.002737553
2005-07-22,6.1e-05,0.025495809,0.001492108,-0.005943062
2005-07-25,6.1e-05,-0.001413289,-0.000269072,0.001091712
2005-07-26,6.1e-05,0.027468938,-0.000734882,-0.001886357
2005-07-27,6.1e-05,0.019408369,0.001274568,-0.004521802
2005-07-28,6.1e-05,-0.002564426,0.005332078,0.001574997
2005-07-29,6.1e-05,-0.003822102,-0.00036665,-0.001426573
2005-08-01,6.1e-05,0.00584634,0.002556719,-0.000540733
2005-08-02,6.1e-05,0.016467535,0.0032946,-0.005489198
2005-08-03,6.1e-05,0.005789442,0.005618639,-0.008902889
2005-08-04,6.1e-05,-0.00607349,-0.003152894,0.001656657
2005-08-05,6.1e-05,0.026951214,0.005438891,0.003647366
2005-08-08,6.1e-05,0.010807114,0.004429066,-0.000677705
2005-08-09,6.1e-05,0.013699521,0.007793458,-0.006662716
2005-08-10,6.1e-05,0.011318823,0.002152865,-0.000414659
2005-08-11,6.1e-05,0.017753612,-0.00458316,0.005634048
2005-08-12,6.1e-05,-0.016180649,-0.005713519,-0.00462616
2005-08-15,6.1e-05,0.02066829,0.012556972,0.003433712
2005-08-16,6.1e-05,-0.007043897,0.01010849,-0.00996695
2005-08-17,6.1e-05,0.015297821,0.011716457,-0.005716507
2005-08-18,6.1e-05,-0.037733814,-0.005951197,-0.00729444
2005-08-19,6.1e-05,0.002159171,-0.003319434,0.003940629
2005-08-22,6.1e-05,0.00908643,0.006007793,0.004106377
2005-08-23,6.1e-05,-0.00960911,-0.010162435,0.01282155
2005-08-24,6.1e-05,0.014602924,0.001216341,-0.001105209
2005-08-25,6.1e-05,0.006188307,0.008792218,-0.014555959
2005-08-26,6.1e-05,0.001293646,0.007031557,-0.006219145
2005-08-29,6.1e-05,-0.013503014,0.007431885,-0.008844943
2005-08-30,6.1e-05,-0.007158695,-0.003464022,0.001975726
2005-08-31,6.1e-05,0.016517998,0.00909227,0.001778898
2005-09-01,6.1e-05,0.019643338,0.006615397,-0.005509462
2005-09-02,6.1e-05,0.0036616,0.003348012,-0.007032695
2005-09-05,6.1e-05,0.007103619,0.003669671,-0.012011323
2005-09-06,6.1e-05,-0.018579257,-0.010121846,0.005506365
2005-09-07,6.1e-05,0.019674436,0.011449431,-0.004577962
2005-09-08,6.1e-05,0.000684792,0.003124202,0.001201266
2005-09-09,6.1e-05,-0.00587063,-0.005965259,0.007583179
2005-09-12,6.1e-05,-0.000130734,0.006911114,-0.002801764
2005-09-13,6.1e-05,0.018091331,0.006426987,-0.007455472
2005-09-14,6.1e-05,0.009391892,0.005295237,-0.003396092
2005-09-15,6.1e-05,0.000133844,0.003587254,-0.00284564
2005-09-16,6.1e-05,-0.003150645,0.003842619,-0.001133261
2005-09-19,6.1e-05,0.007544372,0.00874219,-0.007272676
2005-09-20,6.1e-05,-0.008029473,0.001546135,-0.007164908
2005-09-21,6.1e-05,-0.019123123,0.000148516,-0.006813277
2005-09-22,6.1e-05,-0.025915413,-0.017602094,0.019822544
2005-09-23,6.1e-05,-0.007326709,-0.008780086,0.014299711
2005-09-26,6.1e-05,0.004188492,0.003220461,-0.003266644
2005-09-27,6.1e-05,-0.020337053,-0.006920729,0.009574072
