Stkcd,Trdmnt,BM
1,2005-01,0.3653336967395807
1,2005-02,0.3653336967395807
1,2005-03,0.3653336967395807
1,2005-04,0.3653336967395807
1,2005-05,0.3653336967395807
1,2005-06,0.3653336967395807
1,2005-07,0.3653336967395807
1,2005-08,0.3653336967395807
1,2005-09,0.3653336967395807
1,2005-10,0.3653336967395807
1,2005-11,0.3653336967395807
1,2005-12,0.3653336967395807
2,2005-01,0.6280589742162396
2,2005-02,0.6280589742162396
2,2005-03,0.6280589742162396
2,2005-04,0.6280589742162396
2,2005-05,0.6280589742162396
2,2005-06,0.6280589742162396
2,2005-07,0.6280589742162396
2,2005-08,0.6280589742162396
2,2005-09,0.6280589742162396
2,2005-10,0.6280589742162396
2,2005-11,0.6280589742162396
2,2005-12,0.6280589742162396
4,2005-01,0.2144286498164776
4,2005-02,0.2144286498164776
4,2005-03,0.2144286498164776
4,2005-04,0.2144286498164776
4,2005-05,0.2144286498164776
4,2005-06,0.2144286498164776
4,2005-07,0.2144286498164776
4,2005-08,0.2144286498164776
4,2005-09,0.2144286498164776
4,2005-10,0.2144286498164776
4,2005-11,0.2144286498164776
4,2005-12,0.2144286498164776
5,2005-01,0.5698143717004449
5,2005-02,0.5698143717004449
5,2005-03,0.5698143717004449
5,2005-04,0.5698143717004449
5,2005-05,0.5698143717004449
5,2005-06,0.5698143717004449
5,2005-07,0.5698143717004449
5,2005-08,0.5698143717004449
5,2005-09,0.5698143717004449
5,2005-10,0.5698143717004449
5,2005-11,0.5698143717004449
5,2005-12,0.5698143717004449
6,2005-01,1.0787174145609253
6,2005-02,1.0787174145609253
6,2005-03,1.0787174145609253
6,2005-04,1.0787174145609253
6,2005-05,1.0787174145609253
6,2005-06,1.0787174145609253
6,2005-07,1.0787174145609253
6,2005-08,1.0787174145609253
6,2005-09,1.0787174145609253
6,2005-10,1.0787174145609253
6,2005-11,1.0787174145609253
6,2005-12,1.0787174145609253
7,2005-01,0.1960212776816105
7,2005-02,0.1960212776816105
7,2005-03,0.1960212776816105
7,2005-04,0.1960212776816105
7,2005-05,0.1960212776816105
7,2005-06,0.1960212776816105
7,2005-07,0.1960212776816105
7,2005-08,0.1960212776816105
7,2005-09,0.1960212776816105
7,2005-10,0.1960212776816105
7,2005-11,0.1960212776816105
7,2005-12,0.1960212776816105
8,2005-01,0.117754570966787
8,2005-02,0.117754570966787
8,2005-03,0.117754570966787
8,2005-04,0.117754570966787
8,2005-05,0.117754570966787
8,2005-06,0.117754570966787
8,2005-07,0.117754570966787
8,2005-08,0.117754570966787
8,2005-09,0.117754570966787
8,2005-10,0.117754570966787
8,2005-11,0.117754570966787
8,2005-12,0.117754570966787
9,2005-01,0.5089608623807882
9,2005-02,0.5089608623807882
9,2005-03,0.5089608623807882
9,2005-04,0.5089608623807882
9,2005-05,0.5089608623807882
9,2005-06,0.5089608623807882
9,2005-07,0.5089608623807882
9,2005-08,0.5089608623807882
9,2005-09,0.5089608623807882
9,2005-10,0.5089608623807882
9,2005-11,0.5089608623807882
9,2005-12,0.5089608623807882
10,2005-01,0.5301374074662063
10,2005-02,0.5301374074662063
10,2005-03,0.5301374074662063
10,2005-04,0.5301374074662063
10,2005-05,0.5301374074662063
10,2005-06,0.5301374074662063
10,2005-07,0.5301374074662063
10,2005-08,0.5301374074662063
10,2005-09,0.5301374074662063
10,2005-10,0.5301374074662063
10,2005-11,0.5301374074662063
10,2005-12,0.5301374074662063
