Group,AvgRet,Alpha
Beta_abs_intra_G01,1.9754,1.7213
Beta_abs_intra_G02,0.397,0.0329
Beta_abs_intra_G03,0.0993,-0.559
HML,-1.8762,-2.2804
t,-2.3046,-4.4013
p,0.0359,0.0002
