Group,AvgRet,Alpha
BQ100_G01,1.4188,0.942
BQ100_G02,1.0063,0.865
BQ100_G03,-0.5856,-1.0724
HML,-2.0045,-2.0143
t,-2.1107,-2.7141
p,0.052,0.0127
