Group,AvgRet,Alpha
AutoCorr_G01,1.0619,0.4867
AutoCorr_G02,0.8677,0.3743
AutoCorr_G03,0.4557,0.1912
HML,-0.6062,-0.2955
t,-0.6069,-0.4491
p,0.553,0.6577
