Group,AvgRet,Alpha
Square_G01,1.8268,1.4398
Square_G02,-0.565,-0.7265
Square_G03,0.0472,-0.5198
HML,-1.7796,-1.9596
t,-2.6173,-3.7092
p,0.0194,0.0012
