Group,AvgRet,Alpha
BQ100_G01,0.9729,0.566
BQ100_G02,0.7135,0.2859
BQ100_G03,-0.0546,-0.3355
HML,-1.0274,-0.9014
t,-2.0332,-2.8322
p,0.0601,0.0097
