Group,AvgRet,Alpha
Beta_abs_intra_G01,0.9473,0.8857
Beta_abs_intra_G02,0.2995,-0.1017
Beta_abs_intra_G03,0.4798,-0.1808
HML,-0.4675,-1.0666
t,-0.5863,-1.8418
p,0.5664,0.079
