Group,AvgRet,Alpha
Square_G01,0.7568,0.5379
Square_G02,0.4922,-0.2653
Square_G03,0.5995,0.4133
HML,-0.1572,-0.1246
t,-0.2898,-0.2085
p,0.776,0.8367
