Group,AvgRet,Alpha
AutoCorr_G01,-0.144,-0.4312
AutoCorr_G02,1.7435,1.4348
AutoCorr_G03,0.7514,0.1722
HML,0.8954,0.6034
t,0.7701,0.5398
p,0.4532,0.5947
