Group_Square,RSJ_G01,RSJ_G03,AvgRet,Alpha
Square_G01,3.6103,1.6101,3.004,-3.6424
Square_G02,2.6887,0.4337,2.1866,-0.446
Square_G03,2.2357,1.5037,1.8765,-0.203
HML,-1.3746,-0.1064,-1.1275,3.4394
t,-0.9989,-0.0868,-0.9422,1.0315
p,0.3511,0.935,0.3775,0.3135
