Group_AutoCorr,CKT_G01,CKT_G03,AvgRet,Alpha
AutoCorr_G01,1.2295,3.0483,1.0461,1.982
AutoCorr_G02,3.3705,2.4066,2.7645,0.2331
AutoCorr_G03,1.5341,2.1034,1.5294,-4.1299
HML,0.3045,-0.9449,0.4834,-6.1119
t,0.2264,-0.594,0.5534,-6.1887
p,0.8274,0.5845,0.5972,0.0
