Group_BQ100,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
BQ100_G01,2.654,1.7713,2.2869,-0.3489
BQ100_G02,0.5558,1.9705,1.1229,-3.385
BQ100_G03,1.9505,2.5702,2.0632,-6.0998
HML,-0.7035,0.7989,-0.2237,-5.7509
t,-0.3675,0.6783,-0.1302,-2.2487
p,0.7241,0.5348,0.9001,0.0349
