Group_Square,beta_G01,beta_G03,AvgRet,Alpha
Square_G01,2.4516,1.6588,1.8975,-1.312
Square_G02,1.5317,-1.388,0.5236,-0.9592
Square_G03,1.8853,1.7657,1.3551,-2.6526
HML,-0.5663,0.1069,-0.5423,-1.3407
t,-0.7461,0.0546,-0.4986,-1.0186
p,0.4799,0.9591,0.6333,0.3195
