Group_BQ100,RSJ_G01,RSJ_G03,AvgRet,Alpha
BQ100_G01,3.3929,0.1477,2.7139,-2.3951
BQ100_G02,3.0891,0.4337,2.1948,-1.7674
BQ100_G03,2.0526,2.966,2.1584,-0.1288
HML,-1.3403,2.8183,-0.5555,2.2662
t,-1.5262,1.8474,-0.4762,0.6013
p,0.1708,0.1384,0.6484,0.5538
