Group_Beta_abs_intra,MAX_G01,MAX_G03,AvgRet,Alpha
Beta_abs_intra_G01,4.3011,2.0481,3.7923,-4.2999
Beta_abs_intra_G02,1.3398,2.7445,1.3941,-2.9108
Beta_abs_intra_G03,0.7773,1.467,1.2683,0.3878
HML,-3.5238,-0.5811,-2.524,4.6877
t,-3.2719,-0.5941,-4.4995,6.0448
p,0.0136,0.5844,0.0028,0.0
