Group_Square,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Square_G01,2.0594,0.272,1.268,-0.5694
Square_G02,0.8252,1.6171,0.9285,-2.0787
Square_G03,2.4742,3.6827,2.6333,0.2363
HML,0.4149,3.4107,1.3654,0.8057
t,0.2784,1.1346,0.6511,0.7044
p,0.7887,0.3199,0.5357,0.4886
