Group_Square,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
Square_G01,2.1314,2.493,2.0215,-0.3781
Square_G02,2.1612,2.9624,2.4478,0.6053
Square_G03,2.4651,1.5884,1.8847,-5.9236
HML,0.3337,-0.9045,-0.1368,-5.5455
t,0.2902,-0.5379,-0.1184,-3.9832
p,0.78,0.6192,0.9091,0.0006
