Group_Beta_abs_intra,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.894,0.6807,2.2292,-5.3274
Beta_abs_intra_G02,1.134,3.1948,2.1964,-0.9007
Beta_abs_intra_G03,1.1322,2.4366,1.0474,-3.6056
HML,-1.7618,1.7559,-1.1817,1.7218
t,-2.3188,3.6185,-1.3236,0.4614
p,0.0535,0.0224,0.2272,0.649
