Group_BQ100,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
BQ100_G01,2.0164,2.5832,2.076,0.1295
BQ100_G02,2.0544,2.8721,2.1015,-0.2852
BQ100_G03,2.6868,1.5884,2.1765,-5.5407
HML,0.6704,-0.9948,0.1006,-5.6702
t,0.3248,-0.4321,0.0586,-2.3946
p,0.7548,0.6879,0.9549,0.0256
