Group_Beta_abs_intra,MIN_G01,MIN_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.2028,4.0155,2.696,4.9579
Beta_abs_intra_G02,1.5501,0.1081,0.8459,-2.997
Beta_abs_intra_G03,2.5529,1.1385,1.6799,1.2641
HML,0.35,-2.877,-1.0161,-3.6938
t,0.4567,-4.5803,-1.6965,-4.3185
p,0.6618,0.0102,0.1336,0.0003
