Group_BQ100,beta_G01,beta_G03,AvgRet,Alpha
BQ100_G01,1.8496,0.077,0.8775,-1.9459
BQ100_G02,1.9369,-1.0359,0.8739,-0.944
BQ100_G03,2.0822,2.9954,2.0248,-2.0339
HML,0.2326,2.9184,1.1473,-0.088
t,0.3519,2.6651,1.7085,-0.211
p,0.7353,0.0561,0.1313,0.8348
