Group_BQ100,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
BQ100_G01,2.2833,1.9697,2.1636,2.358
BQ100_G02,1.1011,0.4269,0.6913,-4.0238
BQ100_G03,1.9744,3.1752,1.9749,-0.746
HML,-0.3089,1.2056,-0.1887,-3.104
t,-0.6287,0.5732,-0.3693,-1.6123
p,0.5495,0.5972,0.7228,0.1212
