Group_BQ100,IVOL_G01,IVOL_G03,AvgRet,Alpha
BQ100_G01,0.9052,2.3054,1.6581,1.1214
BQ100_G02,2.1989,0.944,1.4673,0.2427
BQ100_G03,1.235,2.6151,1.3074,0.5363
HML,0.3299,0.3097,-0.3507,-0.5851
t,0.3014,0.105,-0.2748,-0.1564
p,0.7719,0.9214,0.7914,0.8771
