Group_Square,MIN_G01,MIN_G03,AvgRet,Alpha
Square_G01,2.465,2.9266,2.5782,1.009
Square_G02,2.3561,0.1081,1.1124,-0.7039
Square_G03,1.4847,2.2274,1.5311,2.9199
HML,-0.9803,-0.6992,-1.0471,1.9109
t,-1.3976,-0.41,-1.2506,3.0252
p,0.2049,0.7028,0.2513,0.0062
