Group,AvgRet,Alpha
AutoCorr_G01,0.4371,0.1109
AutoCorr_G02,1.4448,0.9801
AutoCorr_G03,-0.0302,-0.3818
HML,-0.4673,-0.4926
t,-0.5723,-0.5381
p,0.5756,0.5959
