Group,AvgRet,Alpha
BQ100_G01,0.5998,0.1729
BQ100_G02,1.0955,1.0099
BQ100_G03,0.0701,-0.4472
HML,-0.5297,-0.6201
t,-0.5358,-0.7018
p,0.6,0.4902
