Group,AvgRet,Alpha
Square_G01,0.793,0.5023
Square_G02,0.3781,-0.2699
Square_G03,0.5172,0.3212
HML,-0.2758,-0.1811
t,-0.4793,-0.2631
p,0.6387,0.795
