Group,AvgRet,Alpha
Beta_abs_intra_G01,1.1348,1.0669
Beta_abs_intra_G02,0.3583,-0.2354
Beta_abs_intra_G03,0.0152,-0.4487
HML,-1.1196,-1.5155
t,-2.2376,-3.2107
p,0.0409,0.004
