Group_AutoCorr,CSK_G01,CSK_G03,AvgRet,Alpha
AutoCorr_G01,1.6536,1.9798,1.6277,-1.7676
AutoCorr_G02,4.9876,1.8106,3.8739,-0.3848
AutoCorr_G03,2.0729,1.1042,1.6565,-1.1004
HML,0.4193,-0.8756,0.0288,0.6673
t,0.3178,-0.4403,0.0196,0.627
p,0.7599,0.6825,0.9849,0.5371
