Group_Beta_abs_intra,IVOL_G01,IVOL_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.8143,2.4175,2.4376,2.9581
Beta_abs_intra_G02,0.1735,-0.079,-0.2522,0.7463
Beta_abs_intra_G03,1.3513,3.526,2.2475,-1.804
HML,-1.463,1.1085,-0.1901,-4.7621
t,-0.9732,0.3655,-0.2098,-4.0635
p,0.3629,0.7332,0.8398,0.0005
