Group_Beta_abs_intra,MIN_G01,MIN_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.2081,4.0155,2.1986,2.3182
Beta_abs_intra_G02,2.5448,0.1081,1.3432,-0.3573
Beta_abs_intra_G03,2.5529,1.1385,1.6799,1.2641
HML,1.3447,-2.877,-0.5188,-1.0542
t,1.5414,-4.5803,-0.7418,-1.4239
p,0.1671,0.0102,0.4823,0.1685
