Group_Square,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Square_G01,1.901,0.272,0.9899,0.048
Square_G02,0.9836,1.6171,1.2066,-2.6962
Square_G03,2.4742,3.6827,2.6333,0.2363
HML,0.5733,3.4107,1.6435,0.1883
t,0.4795,1.1346,0.8965,0.1198
p,0.6462,0.3199,0.3998,0.9058
