Group_BQ100,RSJ_G01,RSJ_G03,AvgRet,Alpha
BQ100_G01,1.9247,0.9825,1.965,-4.7099
BQ100_G02,3.243,-0.572,2.1495,0.3292
BQ100_G03,3.367,3.137,2.9526,0.0894
HML,1.4423,2.1545,0.9875,4.7994
t,1.1405,2.6049,0.7614,2.135
p,0.2916,0.0597,0.4713,0.0441
