Group_Square,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
Square_G01,2.3708,3.0113,2.3032,-0.7566
Square_G02,1.9218,2.4441,2.1661,0.9837
Square_G03,2.4651,1.5884,1.8847,-5.9236
HML,0.0943,-1.4228,-0.4185,-5.167
t,0.0742,-0.7754,-0.3278,-3.3193
p,0.9429,0.4814,0.7526,0.0031
