Group_AutoCorr,ME_G01,ME_G03,AvgRet,Alpha
AutoCorr_G01,0.4304,-0.2889,0.21,0.2522
AutoCorr_G02,3.2099,5.4576,3.6377,2.1857
AutoCorr_G03,2.2996,1.7018,2.0314,-0.9043
HML,1.8692,1.9907,1.8214,-1.1566
t,2.3685,2.3896,2.0622,-0.9584
p,0.0497,0.0752,0.0781,0.3483
