Group_BQ100,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
BQ100_G01,1.463,1.2167,1.0813,-2.6825
BQ100_G02,1.1815,2.3943,2.005,-0.517
BQ100_G03,2.5157,2.7012,2.3868,-6.6343
HML,1.0527,1.4845,1.3055,-3.9518
t,1.0351,1.7677,1.2262,-3.6237
p,0.335,0.1518,0.2598,0.0015
