Group_BQ100,ME_G01,ME_G03,AvgRet,Alpha
BQ100_G01,1.5395,2.1612,1.5138,0.268
BQ100_G02,1.2902,1.7188,1.593,-2.8695
BQ100_G03,3.1102,2.9905,2.7723,4.1351
HML,1.5707,0.8293,1.2585,3.867
t,1.3304,0.4655,0.9804,1.5469
p,0.2251,0.6658,0.3596,0.1361
