Group_AutoCorr,BM_G01,BM_G03,AvgRet,Alpha
AutoCorr_G01,0.3295,2.8304,1.0341,-0.2801
AutoCorr_G02,2.0381,3.3227,2.2097,1.5648
AutoCorr_G03,1.8228,1.7509,1.5584,-1.9504
HML,1.4933,-1.0795,0.5243,-1.6703
t,1.1127,-0.4623,0.9363,-1.4594
p,0.3026,0.6679,0.3803,0.1586
