Group_BQ100,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
BQ100_G01,1.8496,0.8299,1.1128,-0.2561
BQ100_G02,0.9836,0.5248,0.8653,-2.1322
BQ100_G03,2.5256,4.2171,2.8517,-0.0235
HML,0.6761,3.3871,1.7389,0.2325
t,0.5805,2.1923,1.1924,0.1545
p,0.5798,0.0934,0.272,0.8786
