Group_BQ100,CKT_G01,CKT_G03,AvgRet,Alpha
BQ100_G01,2.0335,1.4095,1.3647,-1.2898
BQ100_G02,1.8669,1.9847,1.8809,-0.7435
BQ100_G03,2.2337,4.1642,2.0944,0.1184
HML,0.2002,2.7547,0.7297,1.4082
t,0.1483,2.5254,0.5933,0.5039
p,0.8863,0.065,0.5717,0.6194
