Group_Square,BM_G01,BM_G03,AvgRet,Alpha
Square_G01,1.3814,0.7091,1.156,-0.552
Square_G02,1.7857,2.7822,1.6629,1.5313
Square_G03,1.0233,4.4127,1.9833,-1.645
HML,-0.3581,3.7036,0.8272,-1.0931
t,-0.1996,1.8743,0.5555,-0.41
p,0.8474,0.1342,0.5958,0.6857
