Group_Square,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Square_G01,1.9122,1.6258,1.6583,-2.6964
Square_G02,1.0528,1.9531,1.5782,-1.8365
Square_G03,2.1952,2.7332,2.2365,-5.3008
HML,0.2829,1.1075,0.5782,-2.6044
t,0.3846,1.355,0.6658,-2.0788
p,0.7119,0.2469,0.5268,0.0495
