Group_Square,IVOL_G01,IVOL_G03,AvgRet,Alpha
Square_G01,0.0736,2.1518,0.5177,0.4351
Square_G02,1.9864,0.5902,1.6515,-0.1911
Square_G03,2.279,3.1226,2.2636,1.6564
HML,2.2054,0.9709,1.7459,1.2213
t,0.9828,0.3508,0.8495,0.3833
p,0.3585,0.7434,0.4237,0.7052
