Group_Square,CKT_G01,CKT_G03,AvgRet,Alpha
Square_G01,3.5527,1.4917,2.5088,-0.6224
Square_G02,1.3974,2.4053,1.6163,-2.1028
Square_G03,1.184,3.6614,1.2148,0.8104
HML,-2.3687,2.1696,-1.294,1.4328
t,-2.2702,1.5476,-1.4555,0.3593
p,0.0575,0.1966,0.1889,0.7228
