Group_AutoCorr,beta_G01,beta_G03,AvgRet,Alpha
AutoCorr_G01,2.1285,-0.8963,0.7478,-3.5902
AutoCorr_G02,1.9234,1.384,1.4795,0.0405
AutoCorr_G03,1.8168,1.5488,1.5489,-1.3741
HML,-0.3117,2.4452,0.801,2.216
t,-0.5346,3.616,2.3228,2.7707
p,0.6095,0.0224,0.0532,0.0112
