Group_AutoCorr,MIN_G01,MIN_G03,AvgRet,Alpha
AutoCorr_G01,2.3039,-1.3982,0.6999,3.0633
AutoCorr_G02,1.6525,4.3701,2.2003,0.5415
AutoCorr_G03,2.3495,2.2901,2.3215,-0.3798
HML,0.0456,3.6883,1.6217,-3.4431
t,0.0699,1.1943,1.4619,-2.242
p,0.9462,0.2983,0.1872,0.0354
