Group_BQ100,MAX_G01,MAX_G03,AvgRet,Alpha
BQ100_G01,2.4825,2.5899,2.5441,-5.0582
BQ100_G02,1.193,2.538,1.7294,-0.1964
BQ100_G03,2.7427,1.1317,2.1812,-1.5684
HML,0.2602,-1.4582,-0.363,3.4898
t,0.1195,-0.8959,-0.2408,1.3617
p,0.9082,0.421,0.8166,0.1871
