Group_BQ100,IVOL_G01,IVOL_G03,AvgRet,Alpha
BQ100_G01,0.4714,1.798,0.805,-0.663
BQ100_G02,1.5886,0.8717,1.3417,0.8122
BQ100_G03,2.279,3.1949,2.2862,1.7512
HML,1.8076,1.3969,1.4812,2.4143
t,0.754,0.478,0.6241,0.7634
p,0.4755,0.6576,0.5523,0.4533
