Group,AvgRet,Alpha
Square_G01,1.2466,0.9394
Square_G02,0.305,-0.3111
Square_G03,0.4552,0.1679
HML,-0.7914,-0.7715
t,-1.3267,-1.2166
p,0.2045,0.2366
